2020-08-17 00:21:26.7135||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-17 20:21:21.5816||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-08-17 20:38:41.5278||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 20:39:29.0494|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "08/17/2020 15:09:27 +00:00". |url: |action: 
2020-08-17 20:39:29.3370||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 20:39:43.0915|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "08/17/2020 15:09:43 +00:00". |url: |action: 
2020-08-17 21:42:29.9155||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 21:43:37.2178||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 21:44:13.3383||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 21:55:05.7153||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 21:55:36.3326||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 21:55:59.9632||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 22:00:27.6008||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 22:14:21.3724|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "08/17/2020 16:44:21 +00:00". |url: |action: 
2020-08-17 22:14:23.3387||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 22:20:05.7001||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 22:20:46.8658||ERROR|uccApiCore2.Controllers.ProductController|Something went wrong inside ProductController SaveProduct action: One or more errors occurred. (Object reference not set to an instance of an object.) |url: http://localhost/api/Product/SaveProduct/|action: SaveProduct
2020-08-17 22:56:24.5855||DEBUG|uccApiCore2.Program|init main |url: |action: 
